[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=1, tick=9376542, node->id=471, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=3, tick=9376542, node->id=1274, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=3, tick=9376542, node->id=1275, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=1, tick=9376543, node->id=471, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=1, tick=9376543, node->id=472, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=3, tick=9376543, node->id=1275, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=3, tick=9376543, node->id=1276, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=1, tick=9376544, node->id=472, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=1, tick=9376544, node->id=473, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=3, tick=9376544, node->id=1276, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=3, tick=9376544, node->id=1277, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=1, tick=9376545, node->id=473, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=1, tick=9376545, node->id=474, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=3, tick=9376545, node->id=1277, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=3, tick=9376545, node->id=1278, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=1, tick=9376546, node->id=474, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=1, tick=9376546, node->id=475, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=3, tick=9376546, node->id=1278, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=3, tick=9376546, node->id=1279, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=1, tick=9376547, node->id=475, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=1, tick=9376547, node->id=476, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=3, tick=9376547, node->id=1279, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=3, tick=9376547, node->id=1280, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=1, tick=9376548, node->id=476, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=3, tick=9376548, node->id=1280, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=0, tick=12502024, node->id=99, node->name=COMM_SEND_NODE_FWD_b3_dp0pp0tp0, node->type=5
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=0, tick=12502024, node->id=124, node->name=COMM_SEND_NODE_FWD_b4_dp0pp0tp0, node->type=5
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=1, tick=12502024, node->id=477, node->name=COMM_RECV_NODE_FWD_b3_dp0pp1tp0, node->type=6
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=1, tick=12502024, node->id=478, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=1, tick=12502024, node->id=502, node->name=COMM_RECV_NODE_FWD_b4_dp0pp1tp0, node->type=6
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=2, tick=12502024, node->id=903, node->name=COMM_SEND_NODE_FWD_b3_dp1pp0tp0, node->type=5
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=2, tick=12502024, node->id=928, node->name=COMM_SEND_NODE_FWD_b4_dp1pp0tp0, node->type=5
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=3, tick=12502024, node->id=1281, node->name=COMM_RECV_NODE_FWD_b3_dp1pp1tp0, node->type=6
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=3, tick=12502024, node->id=1282, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=3, tick=12502024, node->id=1306, node->name=COMM_RECV_NODE_FWD_b4_dp1pp1tp0, node->type=6
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=1, tick=12502025, node->id=478, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=1, tick=12502025, node->id=479, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
