[2026-02-15 04:20:18.112] [workload] [debug] issue,sys->id=3, tick=260105856589, node->id=29065, node->name=COMP_NODE_FWD_iter12_b5_attention_compute, node->type=4
[2026-02-15 04:20:18.112] [workload] [debug] callback,sys->id=1, tick=260105856590, node->id=13001, node->name=COMP_NODE_FWD_iter12_b5_attention_compute, node->type=4
[2026-02-15 04:20:18.112] [workload] [debug] issue,sys->id=1, tick=260105856590, node->id=13002, node->name=COMP_NODE_FWD_iter12_b5_ffwd_compute, node->type=4
[2026-02-15 04:20:18.112] [workload] [debug] callback,sys->id=3, tick=260105856590, node->id=29065, node->name=COMP_NODE_FWD_iter12_b5_attention_compute, node->type=4
[2026-02-15 04:20:18.112] [workload] [debug] issue,sys->id=3, tick=260105856590, node->id=29066, node->name=COMP_NODE_FWD_iter12_b5_ffwd_compute, node->type=4
[2026-02-15 04:20:18.112] [workload] [debug] callback,sys->id=1, tick=260105856591, node->id=13002, node->name=COMP_NODE_FWD_iter12_b5_ffwd_compute, node->type=4
[2026-02-15 04:20:18.112] [workload] [debug] issue,sys->id=1, tick=260105856591, node->id=13003, node->name=COMM_RECV_NODE_FWD_iter12_b6_dp0pp1tp0, node->type=6
[2026-02-15 04:20:18.112] [workload] [debug] callback,sys->id=3, tick=260105856591, node->id=29066, node->name=COMP_NODE_FWD_iter12_b5_ffwd_compute, node->type=4
[2026-02-15 04:20:18.112] [workload] [debug] issue,sys->id=3, tick=260105856591, node->id=29067, node->name=COMM_RECV_NODE_FWD_iter12_b6_dp1pp1tp0, node->type=6
[2026-02-15 04:20:18.112] [workload] [debug] callback,sys->id=0, tick=260112107067, node->id=4995, node->name=COMM_SEND_NODE_FWD_iter12_b6_dp0pp0tp0, node->type=5
